title,author_dates,author,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,work_id,prelemmatized,notes
Historia translationis et miraculorum,,Lantifiedus Wintoniensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 155",LanWin.HiTrEtM,Patrologia Latina,10546,True,
Decretum,560-616,Ethelbertus Anglorum,http://viaf.org/viaf/24991076,24991076,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 80",EthAng.Decret8,Patrologia Latina,8143,True,
De dignitate sacerdotii,1007-1072,Petrus Damianus,http://viaf.org/viaf/50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeDiSa2,Patrologia Latina,10083,True,
Epistola ad Galatas,-1117,Anselmus Laudunensis et schola; Glossa ordinaria,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 114",WalStr.EpAdGa,Patrologia Latina,8992,True,
De lingue latine differentiis,1374-1460,Guarino Guarini,http://viaf.org/viaf/78782481,78782481,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13035,True,
Stephanus Brodericus Episcopus Sirmiensis Nicolao Olao [1533-03-08],1490-1539,"Brodericus, Stephanus",http://viaf.org/viaf/64438742,64438742,"early modern edition, no apparatus",Arnold Ipolyi,,,Siječnja 2012.,,BroSte.StB0308,,13453,True,
Translatio corporis S. Odilonis,,Rogerius Bituricensis,http://viaf.org/viaf/295860617,295860617,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 142",RogBit.TrCoSOd,Patrologia Latina,9970,True,
Oratio valedictoria,1548-1600,Giordano Bruno,http://viaf.org/viaf/68926311,68926311,,,Biblioteca Italiana,Roma,2003,Collezione BibIt,,,13102,True,
Veterum testimonia,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 53",AucVar.VetTes2,Patrologia Latina,7606,True,
Historia destructionis Troiae,c.1210-c.1287,Guido de Columnis,http://viaf.org/viaf/100902725,100902725,,Print edition by: N. E. Griffin,The Mediaeval Academy of America,"Cambridge, Massachusetts",1936,,GuiCol.HisDesTroi,,15546,True,"['Genere: Storiografia', 'Tipo: Fonti letterarie', ""Note: Data di composizione dell'opera nella forma redazionale completa. 1287\r\nparole: 84000\r\ncaratteri (spazi inclusi): 577600\r\n<...> indicano integrazioni congetturali dell'editore"", 'Livello di codifica: 1']"
Vita Tiemonis,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 148",AucInc.VitTie,Patrologia Latina,10239,True,
De otioso sermone,887-974,Ratherius Veronensis,http://viaf.org/viaf/100197987,100197987,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 136",RatVer.DeOtSe,Patrologia Latina,9489,True,
Ordinarium canonicorum regularium S. Laudi Rotomagensis,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 147",AucInc.OrCaReS,Patrologia Latina,10191,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14895,True,
Kalendarium Floriacense,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucInc.KalFlo,Patrologia Latina,9619,True,
Sermones,c.878–942,Odo Cluniacensis,http://viaf.org/viaf/59199545,59199545,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 133",OdoClu.Sermon23,Patrologia Latina,9430,True,
Syntagma de Henricis IV et V et Gregorio VII,1093-1169,Gerhohus Reicherspergensis,http://viaf.org/viaf/21134221,21134221,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 194",GerRei.SyDeHeI,Patrologia Latina,11488,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De die judicii,672-735,Beda,http://viaf.org/viaf/61539765,61539765,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 94",Beda.DeDiJu,Patrologia Latina,8507,True,
Commentaria in Epistolam ad Timotheum Secundam,366-384,Ambrosiaster,http://viaf.org/viaf/281829495,281829495,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 17",Ambros.CoInEpA11,Patrologia Latina,6994,True,
Epistolae,1080-1101,Amatus Burdegalensis,http://viaf.org/viaf/49616385,49616385,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 155",AmaBur.Episto257,Patrologia Latina,10511,True,
De fuga in persecutione,150-230,Tertullianus,http://viaf.org/viaf/100226395,100226395,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 2",Tertul.DeFuInP,Patrologia Latina,70,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14835,True,
Capitulare Carisiacense,823-877,Carolus II Calvus,http://viaf.org/viaf/267078093,267078093,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",CaIiCa.CapCar,Patrologia Latina,9697,True,
De successoribus S. Hidulphi in Vosago,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucInc.DeSuSHi,Patrologia Latina,9605,True,
Moralia,540-604,Gregorius I,http://viaf.org/viaf/100184667,100184667,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 75",GreI.Morali,Patrologia Latina,21427,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Passio septem dormientium,c.538–594,Gregorius Turonensis,http://viaf.org/viaf/95289837,95289837,"critical edition, no apparatus","Krusch, Bruno",Hahn,Hannover,1920,,GreTur.PaSeDor,,16892,True,
Epistola,fl. 868,Theudoinus Catalaunensis,http://viaf.org/viaf/17958855,17958855,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 121",TheCat.Episto193,Patrologia Latina,9162,True,
Flores Helinandi,c.1160—c.1237,Helinandus Frigidi Montis,http://viaf.org/viaf/88969751,88969751,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 212",HeFrMo.FloHel,Patrologia Latina,11789,True,
Adversus Hermogenem,150-230,Tertullianus,http://viaf.org/viaf/100226395,100226395,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 2",Tertul.AdvHer,Patrologia Latina,61,True,
Epistolae,-1186,Herbertus de Boseham,http://viaf.org/viaf/227066592,227066592,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 190",HeDeBo.Episto322,Patrologia Latina,11444,True,
Sermones S. Ambrosio hactenus ascripti,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 17",AucVar.SeSAmHa,Patrologia Latina,7018,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Panegyricus dictus Constantino imperatori (Romae ante 321 AD),fl.c.321,Nazarius,http://viaf.org/viaf/100910258,100910258,"based on critical edition, no apparatus, online edition",Source with summary and bibliography,digilibLT,Vercelli,2013,digilibLT,Nazari.PaDiCon,,14438,True,
Hymnus de S. Thoma,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 190",AucInc.HyDeSTh2,Patrologia Latina,11431,True,
Homiliae in solemnitate S. Wigberti,c.805-c.862,Lupus Ferrariensis,http://viaf.org/viaf/2478602,2478602,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,,"Patrologia Latina, vol. 119",LupFer.HoInSoS,Patrologia Latina,9101,True,
Epistola ad Valerium,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 44",AugHip.EpAdVa,Patrologia Latina,7484,True,
Rhythmi in honorem Theoderici,,Sigebertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 137",Sigebe.RhInHoT,Patrologia Latina,9570,True,
De statu virtutum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",AucInc.DeStVi2,Patrologia Latina,11288,True,
De poenitentia,,Auctor incertus (Bonifacius Moguntinus?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",AuInBoM.DePoe4,Patrologia Latina,8354,True,
De divisione,480-525,Boetius,http://viaf.org/viaf/100218964,100218964,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 64",Boetiu.DeDiv,Patrologia Latina,7784,True,
Praefatio in historiam Genetricis Dei,935-973,Hrothsuita Gandersheimensis,http://viaf.org/viaf/9927322,9927322,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 137",HroGan.PrInHiG,Patrologia Latina,9556,True,
Canones,,Leodegarius Augustodunensis,http://viaf.org/viaf/22936644,22936644,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 96",LeoAug.Canone2,Patrologia Latina,8595,True,
Epistole stravaganti e altri componimenti,c.1190-1249,Petrus de Vinea,http://viaf.org/viaf/122196429,122196429,,Print edition by: J. L. A. Huillard-Bréholles,Henri Plon,Paris,1865,,PetVin.EpiStrE,,15520,True,"['Genere: Epistolografia', 'Tipo: Fonti Letterarie', 'Tipo:', ""Note: Nella raccolta sono contenute anche epistole dei corrispondenti di Pier della Vigna.\r\nNon sono stati immessi in rete i docc. 105-106 (pp. 421-24), perché contengono componimenti poetici in volgare.\r\nI docc. 6, 104 e 111 contengono anche dei versi. Il doc. 103 è interamente in versi.\r\nI punti interrogativi, i sic e le altre parole tra parentesi tonde o quadre sono dell'editore.\r\nIl testo consta di 187808 battute\r\nFDD-LDF"", 'Livello di codifica: 1']"
De arca Noe morali,-1141,Hugo de S. Victore,http://viaf.org/viaf/9865788,9865788,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 176",HuDeSVi.DeArNoM,Patrologia Latina,11072,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Ioannis Pici Mirandulae Vita,1470-1533,Gianfrancesco Pico della Mirandola,http://viaf.org/viaf/17253695,17253695,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13087,True,
Sermones,1135-1212,Petrus Blesensis,http://viaf.org/viaf/24572572,24572572,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 207",PetBle.Sermon50,Patrologia Latina,11723,True,
De potestate et voluntate Dei,-1141,Hugo de S. Victore,http://viaf.org/viaf/9865788,9865788,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 176",HuDeSVi.DePoEtV,Patrologia Latina,11079,True,
Vita S. Odonis,,Nalgodus Cluniacensis,http://viaf.org/viaf/35185422,35185422,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 133",NalClu.ViSOd2,Patrologia Latina,9420,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De execrandis diis gentium,,Auctor incertus (Tertullianus?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 2",AuInTe.DeExDiG,Patrologia Latina,54,True,
Vitae,c.110BC–c.25BC,Cornelius Nepos,http://viaf.org/viaf/100219060,100219060,"critical edition, apparatus not encoded",Albert Fleckeisen,Teubner,Leipzig,1886,,CorNep.Vitae,,12779,True,
Epistola ad I. episcopum,1050-1075,Deoduinus Leodiensis,http://viaf.org/viaf/10582451,10582451,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 146",DeoLeo.EpAdIEp,Patrologia Latina,10132,True,
Commentaria in Cantica,-853,Haymo Halberstatensis,http://viaf.org/viaf/49149353,49149353,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 116",HayHal.CoInCa2,Patrologia Latina,9071,True,
Divinarum institutionum liber V,250-325,Lactantius,http://viaf.org/viaf/100198064,100198064,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 6",Lactan.DiInLiV,Patrologia Latina,6811,True,
Epistula ad Gerardum Planiam,1479-c.1550,"Bocignolus, Michael",http://viaf.org/viaf/62361569,62361569,"early modern edition, no apparatus",Neven Jovanović,,,mense Augusto 2008,,BocMic.EpAdGer,"Bučinjelić, Miho.
                    Epistola Michaelis Bocignoli Ragusei ad Gerardu/m/ Plania/m/ ... in qua exponit causas rebellionis Axmati a Solymano Turcarum imperatore, ...
                    /S. l. : s. n., s. a./
                    /13/ pag. ; 8o
                    Dat.: Ragusii, die XXIX. Iunii 1524.
                    NSK Zatvoreno spremište
                    NSK Zagreb RIIF-8o-294 (sig. vet. R 2.737) BOCIGNOLI (Michael).
                        Epistola Michaelis Bocignoli Ragusei ad Gerardum Planiam Caesareae Maiestatis secretarium, in qua exponit causas rebellionis Axmati a Solymano Turcarum imperatore, & quo pacto Axmati consilia oppressa fuerint cum ipsius interitu, praeterea ut Solymanus rebus Cayri compositis, expeditionem in Valachiam susceperit. Cuius sane prouinciae situs, amplitudo, fertilitas, hominum mores, ingenia, quaedamque alia describuntur gratissima futura his, qui stratagemata dolos, & uariam fortunam max. principum scire cupiunt. adduntur quoque praefecturarum Turcicarum & quorundam prouiciarum recentiora nomina. (S. l.) 4to. 8 Bl. Das letzte Bl. weiss. Bl. 2a der Brief ddto Ragusa 29 Juni 1524: Illustrissime Domine post humillimam Commendationem &c. Frater Joannes Gocius (Gozze), qui istic superioribus mensibus apud Caesaream Maiestatem nonnula Reipublicae nostrae negocia tractaverat, Ragusium veniens, ea de vestra dignitate & publice & privatim praedicavit, quae omnes mentes animosque ad eam…… admirandam converterunt.",13308,True,
Adulescentia,1447-1516,"Mantovano, Battista",http://viaf.org/viaf/27059664,27059664,"critical edition, apparatus not encoded","Lee Piepho, 1989",,,,Musisque Deoque 2007,ManBat.Adul,,19674,True,
Compendium in vitam Cosmi Medicis,1442-1501,"Corsini, Amerigo",http://viaf.org/viaf/64439144,64439144,"critical edition, apparatus not encoded","L. Juhász, 1934",,,,Musisque Deoque 2007,CorAme.CoCoMe,,19918,True,
Utilis altercatio duorum de incontentia sacerdotum,,Bernaldus Constantiensis; Alboinus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 148",BeCoAl.UtAlDuD,Patrologia Latina,10243,True,
Epistolae,960-1038,Godehardus Hildesheimensis,http://viaf.org/viaf/266734993,266734993,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 141",GodHil.Episto229,Patrologia Latina,9888,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14901,True,
Ludus clericalis,965-966,Wiboldus Cameracensis,http://viaf.org/viaf/289280573,289280573,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 134",WibCam.LudCle,Patrologia Latina,9453,True,
Vita S. Leodegarii,,Auctor incertus (Walafridus Strabo?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 114",AuInWaS.ViSLe3,Patrologia Latina,9009,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Commentaria in Canticum canticorum,-1167,Wolbero S. Pantaleonis,http://viaf.org/viaf/89541891,89541891,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 195",WoSPa.CoInCaC9,Patrologia Latina,11512,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Epistolae ad Familiares,106BC–43BC,Cicero,http://viaf.org/viaf/78769600,78769600,"eclectic edition, apparatus not encoded",L. C. Purser,Clarendon Press,Oxford,1901-2,,Cicero.EpAdFam,,12677,True,
De divinis officiis,1070-1129,Rupertus Tuitiensis,http://viaf.org/viaf/200687519,200687519,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 170",RupTui.DeDiOf3,Patrologia Latina,10897,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Quaestiones in libros Regum,672-735,Beda,http://viaf.org/viaf/61539765,61539765,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 91",Beda.QuInLiR,Patrologia Latina,8467,True,
Prognosticon,642–690,Julianus Toletanus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 96",JulTol.Progno,Patrologia Latina,8592,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14990,True,
Epistola de buccella data Judae et de veritate Dominici corporis,c.1055–1124,Guibertus S. Mariae de Novigento,http://viaf.org/viaf/31966381,31966381,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 156",GuSMaDe.EpDeBuD,Patrologia Latina,21389,True,
Liber de dispensatione ecclesiasticarum rerum,769-840,Agobardus Lugdunensis,http://viaf.org/viaf/268487135,268487135,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 104",AgoLug.LiDeDiE,Patrologia Latina,8789,True,
Miracula Benedicti ex Andreae monachi historia,,Andreas Fontis Ebraldi,http://viaf.org/viaf/27498472,27498472,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 160",AnFoEb.MiBeExA,Patrologia Latina,10689,True,
Vita S. Anselmi Cantuariensis,c.1120–1180,Joannes Saresberiensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 199",JoaSar.ViSAnCa,Patrologia Latina,11586,True,
Carmina adiecta,1533-1573,"Rapicio, Andrea",http://viaf.org/viaf/61204247,61204247,"critical edition, apparatus not encoded","Barbara Zlobec, 2002",,,,Musisque Deoque 2007,RapAnd.Caad,,19868,True,
Odes,1547-1630,"Cancianini, Gian Domenico",http://viaf.org/viaf/180488070,180488070,"critical edition, apparatus not encoded","Graziella Marino, tesi di laurea Università degli studi di Trieste, 1970-1971",,,,Musisque Deoque 2007,CanGia.Odes,,20234,True,
Liber augustalis,c.1338-1390,Benevenutus de Imola,http://viaf.org/viaf/22954655,22954655,,Print edition by: Simon de Luere,Simonem de Luere,Venezia,1501,,BenImo.LibAugu,,15570,True,"['Genere: Storiografia', 'Tipo: Fonti Letterarie', 'Note: parole: 6483\n\t\t\t\t\tcaratteri: 39747\n\t\t\t\t\tIl testo è continuo, non è suddiviso in pagine.\n\t\t\t\tCC', 'Livello di codifica: 1']"
